Text;Sentiment
Фаст фуд Макдональд приличное заведения,там есть еда которой можно наестся с головой,все чисто,интерер просто супер,обслуживают приятно,цени не дорогые,одним словом все супер.;1
Фаст фуд, він і є Фаст фуд, ремонту в цьому місці не вистачає ;2
Хороше місце розташування. Якісне обслуговування. Іноді не вистачає місць.;1
Хороше місце.;2
Хороше та чисте місце. Швидкий wifi. Багато місця. Є розетки. Привітний персонал.;1
"Хороший заклад швидкого харчування.

Плюси:
+ Смачно
+ Швидкий процес приготування. Невелике очікування між оформленням замовлення і його отриманням.
+ Хороший клімат-контроль

Мінуси:
- Дорого. Ціни неадекватно завищені
- Дуже людяно. Довжилезні черги
- Шум і гам
- Часто не вистачає місць. Особливо, для посиділок з компанією.";2
Хороший мак - після шопінгу заходимо туди підкріпитися - цей мак також ніби на острові - але до нього набагато простіше дістатись ніж до маку на севастопольський площі;2
Хороший Макдональдс у центрі Києва. Тут завжди багато молоді ;1
Хороший сервис, мало людей. Свежо));1
"Хочу відмітити хамське відношення персоналу закладу громадського харчування McDonalds. 
А саме: 
- персонал не орієнтується, що таке кошерна їжа!!!!
- персонал у грубій формі веде діалог з клієнтами
- а також на моє додаткове запитання, переді мною закрили віконце
- столи не прибрані!!!!!";2
Це місце подобається моїм дітям і ми інколи його відвідуємо. Діти хочуть частіше там бувати, але ми більше за здорове харчування.;2
Це поки перший з МакДональдсів, в якому я майже не стояла в страшенних чергах і був відсутній той неприємний запах. Інтер'єр приємний, місць вдосталь для всього потоку людей, прекрасна літня тераса, а голове вид на Дніпро!;1
Це ще один гарний Мак, додати нічого. Хіба що дизайн досить стильний, має східні мотиви.;1
Цей макдональдс так само гарний, як всі інші;1
Центр, дитячий майданчик, іграшки для дітей, дні народження.;2
Цікаво дітям;2
Часто вибір цього закладу поміж інших макдоналдсів обумовлений тим, що тут з більшою імовірністю знайдеться вільне місце. Іноді заважають галасливі діти, але це терпимо.;1
Часто заїжджаю суди поїсти. Мені тут дуже подобається)));1
Часто тут буваю. Доволі людно у вихідні. Сервіс хороший, касири працюють швидко, та і куня не гальмує. Технічні працівники також підтримують чистоту закладу.;1
Чи не накрашенной місце, куди з'їжджаються усі люди з міста, щоб перекусити. Є гральні для дітей та старших дітей на 2му поверсі. Дуже классе місце, рекомендую! ;1
Чисто, мало відвідувачів, спокійно, зручні столи і на вулиці, і в середині залу, швидке обслуговування, приємний персонал.;1
Чисто, охайно, стандартно. ;1
Чисто, швидко, добрий  wi-fi.;1
Чисто,привітний персонал, смачна кава... але завжди багато людей.;1
Чисто. Не особо людно.;1
"-чому в макдональдс туалети безкоштовні?
- сировину заготовляють)";2
Чудо какое это тупо перекрыло проход, хотя места для парковки предостаточно !;1
Чудове і смачне місце. Але не для тих, хто дбає про своє здоров'я та фігуру ??;1
Чудовий заклад, що повністю відповідає очікуванням від таких закладів. З мінусів, безперечно, це ціна/якість. Можна знайти і ламповіше на ту ж суму. Хоч і перекриваєтсья сервісом, проте ніхто не ідеальний і в усіх видах діяльності є свої бока, які місцеве начальство не гребує одразу обрубувати прямо перед натовпом відвідувачів.;2
Чудовий і популярний фаст-фуд. Шкода що один на все місто. До нього просто так не дістанешся. Але популярно для гостей міста, бо знаходиться на трасі Київ-Харків. Є Wi-Fi. Є величезні черги. Все тут є, бо це МакДональдз.;1
Швидке облсуговування, смачна їжа. Кассири бажають гостям щастя, здоров'я, здоровеньких діточок і вдало одружитися!));1
Швидке обслуговування! Уважні касири-офіціанти. Будьте уважні до тих, хто просить гроші нібито на квиток додому чи ще якусь грошову допомогу - це люди заробляють (вони майже кожен день навідуються і просять);2
Швидке обслуговування, постійне прибирання, WiFi завжди працює швидко.;1
Швидке обслуговування. Чисто. Людно;2
Швидкість сервісу 5+. А розположенняна найгарнішій вулиці Одеси просто супер;1
Швидкість та якість на висоті але бомжі та шаровий ?? псують все ...;1
Швидко обслуговують, гарна атмосфера, іноді немає місця, щоб сісти в середині, відсутня тераса, поруч шосе і ганяють машини.;2
Швидко обслуговують. У вбиральні дуже тісно, особливо у годину пік. Більше, ніж трьом відвідувачам складно розійтись;2
Швидко та смачно, але у вихідні дні багато людей, де важко знайти вільне місце.;2
"Швидко, смачно, чисто,  проте чіз вже не той.
Редагую відгук, замовили зранку даблфреш та фреш - булки засушені, явно зберігались більше 10 хвилин в шкафу. 
Ще одного разу не поклали в колу лід";2
Я вважаю,  що це кращий заклад швидкої їжі,  особливо його можуть оцінити студенти які заходять сюди щоб перекусити,  розташування цього закладу досить комфортне,  затишний інтер'єр, гарна літня площадка,  є де погратися дітям,  особливо сподобалось МакДрайв,  обслуговування дуже швидке і приємне, вночі людей більше ніж в день. ;1
Я знаю, що тут ви отримаєте найкращий сервіс, найшвидше обслуговування і найякіснішу і найсвіжішу продукцію. Хочете гарно відпочити і провести час з близькими та рідними, при цьому, не залишившись голодним- вам саме сюди!;1
Я це люблю :) ;1
я це люблю?;1
Я це люблю))));1
Як завжди;2
Як завжди на висоті))));1
Як звичайний Макдональдз просто і зі смаком. Також дуже зручно що є макдрайв.;1
Як МакДональдс, але на Соборній працює чіткіше. В цьому було декілька випадків з видачею чи недодачею страв з макдрайву;1
"Як прийнято в мережі фаст-фудів ""МакДональдз"" в залі чисто, приємний привітний персонал. Їжа смачна, якщо подобається така їжа (KFC і MacFoxy в прольоті). Ціни нажаль з курсом валюти зависокі для фаст-фуда, але людей завжди багато, і різного контингенту! Мало місць, було б не погано добудувати ще зал...можна і з сім'єю піти, з друзями, і самому (Wi-Fi не дає сумувати самому).";1
Як то можна їсти? Гидота! Але є смачне - картопля по-селянськи;2
Якісний сервіс. Завжди дуже людно. Чисто;2
Якість їжі та напоїв відповідає стандартам мережі. Інколи надто людно, а на літньому майданчику підходять жебраки.;2
Якщо вас цікавить їжа і балачки, а не культурні заходи у місті, то це саме для вас.;2
"Якщо ви їдете по Бажана і плануєте заїхати на макдрайв - вам доведеться дуже уважно слідкувати за розміткою. Досить важко знайти заїзд. Якщо проїхали, як я, тоді через вулицю Декабристів об'їхати ринок. Інакще ніяк.
А в іншому, цілком нормальний макдак";2
 want deliveries ;0
 письку дернул попал веселье прет ;0
 письку дернул попал веселье прет ;0
 посмеют скорее еда ;0
 кстати утром заезжал высовывается новый миш маг хрен знает ;0
 нашем городе открылся ростове дону ;0
 знаки сотрудники дева стрелец рыбы свободная касса скоты ;0
 зно прошло выпускной прошёл бой идут шутки неудачное поступление бомжевание улице работу ;0
розрив шаблону моркв яну соломку площа слави київ київ ;0
плюсы кондиционер минусы жаренная картошечка;0
нравится новая реклама ;0
видео индия блог интернет центре джайпура кфс ;0
 центре киева горит бывший центральный гастроном расправился киевской перепичкой ;0
 центре киева горит бывший центральный гастроном расправился киевской перепичкой ;0
 центре киева горит бывший центральный гастроном расправился киевской перепичкой ;0
 damn friendly amp funny course beautiful annoying calling s ;0
 компания рахбари хамзат хасбулатовнинг сузларига кура биринчи булиб тошкент самарканд бухоро ва куконда очи ;0
 подобається відео игрушки гадкий хэппи мил ;0
история становления самая приятная история ;0
 ага перепичку нанял титушек избавиться конкурента ;0
 los j venes temen al futuro le temen los panfletarios sin otro oficio conocido qui n contratar s nchez para u ;0
 митинг организовать прайд ходить кругами веч ;0
 митинг организовать прайд ходить кругами веч ;0
 митинг организовать прайд ходить кругами веч ;0
 митинг организовать прайд ходить кругами вечно жуя бигмаки;0
создайте петицию завтраки круглые сутки продолжаться;0
 процесс шашлык сходить должна определенная канва ;0
 дрянь ;0
 понравилось видео iphone пранк iphone prank ;0
 estos lo m s q toman es mcmenu en el macdo ;0
 понравилось видео ужин хэппи мил сибирский молл покупаем;0
 дети любят ;0
new post restauration le futur s n rac recrute ;0
 выходных пошла дома разболелся животик ;0
 настя работает работает ;0
 каком городе открыт ;0
київська перепічка смачне тісто гарний сосідж найшвидчий сервіс відпочиває;0
 рестораном называют московии ;0
 понравилось видео виртуальный ивангай htc vive job simulator ;0
 донецке горел отжатый ;0
 донецке горел отжатый донбассе российско украинский конфликт новости ;0
 донецке горит бывшее здание кафе ;0
видео донецке загорелся отжатый боевиками ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 барбершоп ;0
 побрился ближайший километра ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецке горит бывшее здание кафе ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
кстати вчера видел сцену одну охуел мужик киеве зашёл заказа роял чизбургер картошку большую;0
веганы ходят поссать;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
настя работает работает ;0
 ростикс ;0
 парапампампам;0
 утра друзья выпал соц сетей поскольку сделали свой ;0
 площадь льва толстого месте трехэтажного здания слева вход метро льва толстого ;0
 airpos huh ;0
 непонятно настолько дешевы устремления вопросах отдел философии ;0
 хорошая реклама ;0
 ресторане москва ссср ;0
 ou burgerking mc ;0
 ресторане москва ссср ;0
аааааа хотююю;0
 t stand older ppl say stop saying mac hard;0
 выпил ужасное кофе грн заплатил вывод берите кофе поверенных местах например ;0
 украинская неделя гей парада киеве радикалы напали гражданина израиля ма русскаявесна https ;0
el toro sufre y las hamburguesas del son las mejores vacas claro claro ;0
индия блог интернет центре джайпура кфс ;0
 чувак руку завел девушку повязке глазах шикарный неожиданный сюрприз приготовил ;0
 знает работает ногинске ;0
 подогнал кекс трцщука трк щука ;0
 можешь тратить деньги внешность саморазвитие иначе останется ;0
 кава выдумуй ;0
току едно момиче чете статуса аз й казах че статус показах туита сега се хилим ;0
шеф повар мировым именем выиграл суд доказал еду ;0
 леша дачу завещать нафиг грн оставь хватит;0
 прекратил спонсорство международного олимпийского комитета которым сотрудничал ;0
 правильно вернуть бесплатное образование гос деньги отправлять стране ;0
 отправились посмотреть ;0
mcdo livre avec ubereats e r ductionavec le code eats rg m mcdo macdo ;0
 основная достопримечательности;0
 шла филе фиш взала ;0
 донецк горит отжатый ;0
одесити чекаємо оновленому проспекті шевченка ;0
 ;0
пойду ;0
 лично плохого сделал ;0
 ;0
 многозначительно порошенко фоне сахарного тросника скоро сети появяться фото петра кеппи ;0
 забыть святые палаточный городок стен кремля малиновые пиджаки новые русские ;0
опрос питаетесь ;0
 забыть святые палаточный городок стен кремля малиновые пиджаки новые русские ;0
 предложить парень ;0
 знали неделя работы сша равна двум минималкам украины ;0
всемирноизвестно сеть бесплатных туалетов см далее ;0
 любит ;0
 відкрив новий напрямок сексуально зголоднілих ;0
вышел сильпо хлебом очнулся мороженым руке игрушечным миньоном озадачен ;0
сводите ребёнка купите хеппимил;0
 крайне сильно грустила мужчина повёл руку песни христианские гитаре исполнял;0
 заезжаете макавто заходите ;0
 запустил сервис доставки еды россии эфир ;0
 фантастічєская сємьорка часть пєрвая дарога київ дніпр ;0
 ходите подобные кафе едите ;0
 походе заказывает салат глупо ;0
 одесити чекаємо оновленому проспекті шевченка ;0
 кфс бургер кинг ашан ;0
 закрыли витебского вокзала ;0
 хохляцкие компашки свалил беда печаль возникло рабо ;0
 запустил сервис доставки еды россии;0
 назвать гиркин вернется реконструировать заново ;0
дівчата діляться види пішли гуляти містом й ніч пішли пузату хату ;0
 пригласил девушку свидание ;0
 пригласил девушку свидание ;0
предлагаю игру описывать сми рестораны базфид сабвэй bbc телевизор мусорка ;0
 пойдет синими роботами;0
 дівчата діляться види пішли гуляти містом й ніч пішли пузату хату ;0
 ;0
 каким боком стейк овощи гриле французская кухня чисто омериканская хавка лошья стран;0
 станции метро рязанский проспект ;0
подскажите круглосуточный ;0
 дівчата діляться види пішли гуляти містом й ніч пішли пузату хату ;0
хочу татарские недели ;0
 подобається відео виртуальный ивангай htc vive job simulator;0
привезти гамбургеры предлагает компания доставка новгород ;0
ik ben minuten weg en heb al berichten app groep thank guys ;0
подскажите круглосуточный ;0
 маке обслуживают одесса ;0
идём бабушкой видит букву бабуль метро ;0
 спорю тупыми людьми котят обижать недели_мегаломании_в_ ;0
нашла подтверждение убивает ;0
зашла обнаружила;0
 думаете полезная пища ;0
 нравится ;0
 пам ятаючи розповіді місто відчуваю роду когнітивний десонанс маючи знання ;0
 голоден ;0
 продемонстрировал социальная ответственность часть корпор ;0
їду чарівне бо хочу ;0
 facebook запустила поиск бесплатных wi fi точек придётся бродить городу поисках вайфай бай ;0
каким образом смог обеспечить успех никакие лидеры обеспечат пассив ;0
трансгендерная американка подала суд сексуальные домогательства криминал сша трансгендер ;0
харків зустрічайте оновлений біля залізничного вокзалу адресою вул полтавський шлях ;0
 сделал карьеру ;0
 ;0
історія україни травня будівлі станції метро лук янівська києві відкрився ресторан всесвітньої ;0
 хуйня ужин америкосов приезжает армию полуторасосисками хвастаетесь ;0
 історія україни травня будівлі станції метро лук янівська києві відкрився ресторан всесвітньої мережі ;0
 starbucks popcorn crap films europe civil ;0
трансгендерная американка подала суд сексуальные домогательства ;0
 рувд ответили просьбу урегулировать движение ресторана ;0
можете называть странной нравится ;0
 кушайте еды ;0
 успокоишься цервки поедем ;0
 m faing ;0
 заменяет кассиров автоматизированными системами выбора ресторанах борьба ;0
 job ;0
 зп днів зп днів руководітєль;0
зп днів зп днів руководітєль;0
 ;0
 подобається відео виртуальный ивангай htc vive job simulator;0
 относитесь работе ;0
главней доме жир боках ерунда ;0
 савеловская ;0
 ;0
 правильно вернуть бесплатное образование гос деньги отправлять стране ;0
 подобається відео прятки ;0
 y sigue la joda bolivia suspende actividad cocacola y ;0
 леша дачу завещать нафиг грн оставь хватит;0
ordered amp debonairs time want comes ;0
шеф повар мировым именем выиграл суд доказал еду ;0
току едно момиче чете статуса аз й казах че статус показах туита сега се хилим ;0
 кава выдумуй ;0
 можешь тратить деньги внешность саморазвитие иначе останется ;0
el chef brit nico jamie oliver gana su demanda contra s ;0
 el chef brit nico jamie oliver gana su demanda contra s ;0
got called work evening went ;0
 el chef brit nico jamie oliver gana su demanda contra s ;0
 подогнал кекс трцщука трк щука ;0
acordei com vontade ir tenshishop comer e jogar papo fora e ver o chegar reclmando ;0
 чувак руку завел девушку повязке глазах шикарный неожиданный сюрприз приготовил ;0
индия блог интернет центре джайпура кфс ;0
чисто латте ;0
 выпил ужасное кофе грн заплатил вывод берите кофе поверенных местах например ;0
mcdo livre avec ubereats e r ductionavec le code eats rg m mcdo macdo ;0
 ресторане москва ссср ;0
 тематичних картиночок подивиться покличе ;0
 thanks ;0
 wg indo pro kkkkkkkkk ;0
 ресторане москва ссср ;0
 непонятно настолько дешевы устремления вопросах отдел философии ;0
 хорошая реклама ;0
 way m craving double quaer pounder meal rn actually wanna ;0
 донецке горит южном автовокзале;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
кстати вчера видел сцену одну охуел мужик киеве зашёл заказа роял чизбургер картошку большую;0
 донецке горит бывшее здание кафе ;0
 кстати вчера видел сцену одну охуел одессе туалете гужва брал тридцатку покакать ;0
кстати видела вчера такую странную вещь охуела чувак заходил фу мерзко дикарь ел ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 work picks race ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 ростикс ;0
 побрился ближайший километра ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
 донецк горит отжатый ;0
видео донецке загорелся отжатый боевиками ;0
 донецке горит бывшее здание кафе ;0
 experience future program using plain old automation;0
 донецке горел отжатый ;0
 понравилось видео виртуальный ивангай htc vive job simulator ;0
 рестораном называют московии ;0
 ;0
 tion eating ice cream times square bet dollars xiao begged ;0
 mike vitale new practice leader tunnels noh america tunneling ;0
 look drive line simple delete ;0
 tell mom want makes heat leftovers instead ;0
nada llevarla este semestre pura empanada si te quiere te entiende abonatejuniorista;0
 tell mom want makes heat leftovers instead ;0
 вата ;0
 trancado c delicias frente y paul romero frente enne;0
 каком городе открыт ;0
 выходных пошла дома разболелся животик ;0
 дети любят ;0
 понравилось видео ужин хэппи мил сибирский молл покупаем;0
 понравилось видео iphone пранк iphone prank ;0
 ням гарно пахне люблю ой клас сфотографувати інстаграм ;0
кормушка ;0
 kfc ;0
история становления самая приятная история ;0
 донецке горел отжатый донбассе российско украинский конфликт новости ;0
 mcflurry ;0
 подобається відео игрушки гадкий хэппи мил ;0
 t make shitty classic horrible food right s time worstever;0
лайфхак следующий поход ;0
видео индия блог интернет центре джайпура кфс ;0
нравится новая реклама ;0
плюсы кондиционер минусы жаренная картошечка;0
si y burger king hacen lo mismo imagino lo bajo que pagan estos ;0
 зно прошло выпускной прошёл бой идут шутки неудачное поступление бомжевание улице работу ;0
 wishes healthy wednesdaywish ;0
 знаки сотрудники дева стрелец рыбы свободная касса скоты ;0
 wer beim radio anruft um sich ed sheeran zu w nschen reservie bei auch einen tisch ;0
 wer beim radio anruft um sich ed sheeran zu w nschen reservie bei auch einen tisch ;0
 days just bare expensive enjoy large meal feeling like rui ;0
 sta week right w movienight pick stars thefounderwe got h ;0
eu quero agradecer ao por trazer mais brinquedos dos m nios e fazer gastar um dinheiro que n o tenho hahahaha;0
 sta week right w movienight pick stars thefounderwe got h ;0
 o gatinho mais famoso brasil volta ao s venha saborear o mcflurry linguadegato trufado kopenhagen http ;0
 s mccafe posing major threat dunkin donuts ;0
 awan brothers case huge scandal real election rigging hacking media ;0
 j hrige haben sex und ich kann nicht einmal essen bei bestellen ohne dabei nerv s zu werden ;0
 serving mcnuggies day chicken selects woul ;0
 j hrige haben sex und ich kann nicht einmal essen bei bestellen ohne dabei nerv s zu werden ;0
 way upgrade summer hooping sesh add chocolately caramel y new rolo mcflurry mix ;0
 just checked mplaces donate mpoints ;0
 sta week right w movienight pick stars thefounderwe got h ;0
 toy story musical universe;0
 communist nations breadlines said standing line ;0
ponele hoy antojo las sanguchito miga n tostado y ahora pochoclos ;0
 ;0
 replacing human cashiers digital kiosks riseoftherobots ;0
 voc e mais um mont o queijo v o se derreter pela nova batata queijos s ;0
 s rio mesmo marcelo maroto e meu melhor amigo;0
 focus technology drive sales ;0
 evil jurassic park universe;0
  ht ;0
 read truth dem hackers truth bn year msm refuses cover itawan brothers htt ;0
porra pra quem cue toas banana ;0
hur g r man pommes en ingenj r g r bakl nges ;0
cc preguntan en caja que qui n es la mcn fica y ;0
 eu vi chorando;0
 s estrena campa para anunciar el lanzamiento mcdelivery ;0
 ;0
 despu s ver esto querr s volver comer en s video alimentos ;0
despu s ver esto querr s volver comer en s ;0
 wer beim radio anruft um sich ed sheeran zu w nschen reservie bei auch einen tisch ;0
took yo daughter doctor bought afterward like old times lol need ;0
 house dems hired fired s worker guy ;0
 нашем городе открылся ростове дону ;0
 chill mymixtapez ;0
ese momento en que el cliente te env la idea web que quiere en una servilleta que dibuj el bol grafo en ;0
 письку дернул попал веселье прет ;0
 письку дернул попал веселье прет ;0
 кстати утром заезжал высовывается новый миш маг хрен знает ;0
 вперше житті захотілось морозивко стояла касі передумала взяла амарето макіато ай ;0
 гуляти нічним містом покажу таємні улюблені місця підемо ;0
 йоги піду ;0
 йоги піду ;0
 типу їсти таки повний ;0
 барбершоп ;0
київська перепічка смачне тісто гарний сосідж найшвидчий сервіс відпочиває;0
 разу ресторані ;0
розрив шаблону моркв яну соломку площа слави київ київ ;0
 японии самый медленный мире f u f u d u f f u f u d u f u f u d u f u f u d u ;0
 ;0
nan;0
отличный выходной f u f u u b f u f u u b f u f u u s na;0
 omd яцелюблю ;0
 центре киева горит бывший центральный гастроном расправился киевской перепичкой ;0
 s подгоревший макмаффин надеюсь подгорит ;0
 ;0
весело талановито грайливо зустрічали веcну діти відділення соціально медичної реабілітації дітей дцп територіального центру соціального обслуговування оболонського району києва переддень міжнародного жіночого дня діти особливими потребами батьки безкоштовно відвідали тц дрім таун адміністрація ресторану люб язно виділила окрему дитячу кімнату проведення свята дітки батьки ;0
 ;0
доброе смурфное утро новая коллекция игрушек рекомендую перекусить наслаждаться километров пустяки видео burger king ответил троллинг s reklamaster com;0
nan;0
 s ніяк f u f u u u u fe f f u f u d u f u f u d u f ;0
 сделала стала мужчиной спрашиваю подругу скажем месяц первую очередь писю рассмотрела внимательно понятно na;0
 wanted express sincerest gratitude ddb ukraine agency team people like bodya sasha nelya shura yulia dima yana illya roman tanusha amazing media team dedication hard work commitment real passion craft true loyalty s save mc donald s fast food restaurant kyiv people checked ;0
na na;0
free kiev walking tours conducts free tour old kiev kiev city center daily m ;0
людей вокзале симферополе оккупации выбрал очередь двигается стажер раиса милая толстушка очках родилась работы полинезийской библиотеке выбираю библиотекарш ;0
avec mon ami billel filali dans s ;0
американський порушує право україни ;0
 знаю качество подтверждаю ;0
 постоянная рубрика недели kfc израильском культурном центре открыли боулинг клуб шаром алейхем na;0
буквально минут мен порадовал надежда добрый участвовали розыгрыше сертификата максанди победили na;0
nan;0
 vita hi summer cool style beautiful girl live ukraine goodluck great supreme ;0
начало второго дня львове lviv ;0
 план случай сегодняшний вечер дождливым f u f u u na;0
ул залаегерсег трц фабрика очередь напротив херсон na;0
 ;0
единственный вариант зачекиниться центральном загсе заехать ;0
кирилл сазонов глядя михалков просит путина помощи бюджета страны вытеснения сети автоваз заявил готов завтра выпустить конкурента lamborghini ;0
похід мак гнила картопля скарга власникам заява урядову гарячу лінію цікаво дізнатись напрацюють бо дістало ;0
meeting point entrance close khreschatyk metro station khreschatyk street ;0
 сидела ждала мужа ребенком ко подошел охранник сидите закажите кофе f u f u u фото прилагаю жаль человека уволят работы интересно руководство приказало ;0
na na;0
_я выбираю gbar женс na;0
na na;0
роскошная квартира лимассоле выходом пляж спальни гостинная раздвижными окнами открывается панорамный вид море санузла ванная душ необходимая бытовая техника кондиционеры холодильник тв фен пылесос утюг посуда постельное белье полотенца запросу детская кроватка стульчик квартира находится центре города большая часть населения русском украинском языке супермаркеты пляжные рестораны na;0
 f u f u u убиваем_ u кубики пресса f u f u u c f u f u d u f u f u d u b какое вкусное мороженое f u f u u f u f u u f u f u u b шведский превращает happy meal опыт виртуальной реальности шведский превращает happy meal опыт виртуальной реальности tribe vr украинская компания разработчик d игр thetribevr com;0
nan;0
 любитель всяких необычных прикольных штучек могу поделиться f u f u u пила чай s маленькая коробочка отдельным пакетиком чая буквой однозначно порадовала умилила f u f u u b u na;0
 місяця триває ремонт приміщення закладу швидкого харчування центрі вінниці робіт замінили тротуарну плитку переклали дах наразі завершився ремонт залу проводяться оздоблювальні роботи ;0
na na;0
nan;0
nan;0
na na;0
 сына любимый nick нравится проводить взрослый f u f u u e тусеры family live ukraine sky fastfood food cool photo love son na;0
 kiev total cost usd ;0
 червня найулюбленіші дітки дитячого будинку чебурашка відвідали фестиваль божі діти місті києві хрещатик присвячений дню захисту дітей організований керівництвом києво печерської лаври організований прекрасний концерт дітки відвідали s щиро вдячні можливість присутніми даному заході компанії s надані обіди справжнє бажання допомогти ;0
 s запомніть сумне розчароване обличчя їздиш всі маки центрі околицях пошуках джейка adventure time добряча половина колекції легокажанчик фіни ліпшого дружбана грусть рятує смачнючий пиріг малиною ;0
дональд трамп посетит оккупированный крым стало известно официального сообщения опубликованного киевскому сайте белого дома дональд трамп примет участие церемонии открытия представительства сша симферополе которое отведено подготовлено здание улице гагарина аннексии располагался s рамках рабочей поездки президент сша собирается посетить саки севастополь следует документа обнародо ;0
nan;0
 s подгоревший макмаффин надеюсь подгорит na;0
 memory poor surely ll step aside fitting impoant role ;0
залаегерсег трц фабрика очередь напротив херсон мелкая бургерная одессы перешла дорогу компания заявила торговый знак логотип одесской бургерной похожи продуктов компании набор детей usi online;0
 ;0
 нехай світ зачекає дехто сходить ;0
 s мое фото стаканчиком вашего кофе платили жалких богатым человеком минимум купил passat литовских номерах na;0
подписать петицию s хмельницком подписей дней конца прошлый хватило подписей надеюсь хватит хмельницкий хмельницький проскуров проскурів khmelnytskyi khmelnytsky khmelnytskyy khm khmelnytskycity ;0
война россии россии na;0
 січня москві пушкінській площі відбулось відкриття першого s срср залізна завіса срср остаточно впала роботи ресторану швидкого харчування утворилась величезна черга декілька кілометрів згодом потрапила книгу рекордів гіннеса найбільша черга світі потрапити всередину омріяного s відвідувачам необхідно стояти декілька годин черзі січневому морозі завадило побити всі рекорди відвідуваності клієнтів прийшло закладу роботи виртуальная реальность впридачу бургеру видео превратил happy meal очки виртуальной реальности популярная сеть фаст фуда сделала коробок детских обедов reklamaster com;0
помните поставил всей франции провокационные биллборды троллящие burger king собственно ответка прилетела ;0
доброго ранечку u u fe f знали тм щедрик робить соус журавлини фасує асканія пак діпи любите соус купуйте пляшках смакувати улюблений сир f u f u u ясо f u f u d u f u f u d u f u f u d u вдома f u f u f u f u f u f u f u f u f u щедрик_поруч ;0
